eventID,occurrenceID,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,recordedBy,type
SouthN1Bats,,AudioMoth recordings,Na,Na,Na,Present,Barbastellus barbastellus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Barbastella,Barbastella barbastellus,,Species,EM&PM,event
SouthN1Bats,,AudioMoth recordings,Na,Na,Na,Present,Eptesicus serotinus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus serotinus,,Species,EM&PM,event
SouthN1Bats,,AudioMoth recordings,Na,Na,Na,Present,Myotis daubentonii,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis daubentonii,,Species,EM&PM,event
SouthN1Bats,,AudioMoth recordings,Na,Na,Na,Present,Myotis mystacinus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis mystacinus,,Species,EM&PM,event
SouthN1Bats,,AudioMoth recordings,Na,Na,Na,Present,Myotis nattereri,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis nattereri,,Species,EM&PM,event
SouthN1Bats,,AudioMoth recordings,Na,Na,Na,Present,Nyctalus leisleri,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Nyctalus,Nyctalus leisleri,,Species,EM&PM,event
SouthN1Bats,,AudioMoth recordings,Na,Na,Na,Present,Nyctalus noctula,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Nyctalus,Nyctalus noctula,,Species,EM&PM,event
SouthN1Bats,,AudioMoth recordings,Na,Na,Na,Present,Pipistrellus nathusii,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus nathusii,,Species,EM&PM,event
SouthN1Bats,,AudioMoth recordings,Na,Na,Na,Present,Pipistrellus Pipistrellus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus Pipistrellus,,Species,EM&PM,event
SouthN1Bats,,AudioMoth recordings,Na,Na,Na,Present,Pipistrellus pygmaeus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,Pipistrellus pygmaeus,,Species,EM&PM,event
SouthN1Bats,,AudioMoth recordings,Na,Na,Na,Present,Plecotus auritus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Plecotus,Plecotus auritus,,Species,EM&PM,event
SouthN1Bats,,AudioMoth recordings,Na,Na,Na,Present,Plecotus austriacus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Plecotus,Plecotus austriacus,,Species,EM&PM,event
SouthN1Bats,,AudioMoth recordings,Na,Na,Na,Present,Rhinolophus hipposideros,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Rhinolophus,Rhinolophus hipposideros,,Species,EM&PM,event
SouthN2Bats,,AudioMoth recordings,Na,Na,Na,Present,Nyctalus noctula,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Nyctalus,Nyctalus noctula,,Species,EM&PM,event
SouthN2Bats,,AudioMoth recordings,Na,Na,Na,Present,Nyctalus leisleri,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Nyctalus,Nyctalus leisleri,,Species,EM&PM,event
SouthN2Bats,,AudioMoth recordings,Na,Na,Na,Present,Myotis nattereri,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis nattereri,,Species,EM&PM,event
SouthN2Bats,,AudioMoth recordings,Na,Na,Na,Present,Myotis mystacinus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis mystacinus,,Species,EM&PM,event
SouthN2Bats,,AudioMoth recordings,Na,Na,Na,Present,Myotis daubentonii,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis daubentonii,,Species,EM&PM,event
SouthN2Bats,,AudioMoth recordings,Na,Na,Na,Present,Eptesicus serotinus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus serotinus,,Species,EM&PM,event
SouthN2Bats,,AudioMoth recordings,Na,Na,Na,Present,Barbastellus barbastellus,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Barbastella,Barbastella barbastellus,,Species,EM&PM,event
