latitude,longitude
55.70867,-5.276892
55.706838,-5.275091
55.704924,-5.272508
55.706514,-5.271503
55.707969,-5.270068
55.706838,-5.282745
55.706218,-5.281645
55.70549,-5.280592
55.704681,-5.27954
55.704196,-5.278583
55.704062,-5.278153
55.703836,-5.277722
55.706325,-5.282267
55.705706,-5.281023
55.704924,-5.27997
55.70425,-5.278774
55.704115,-5.278248
55.703792,-5.277578
55.702633,-5.270307
55.70301,-5.273799
55.704493,-5.275474
55.70584,-5.278009
55.706864,-5.279253
55.707511,-5.2821
55.701852,-5.268394
55.69921,-5.284754
55.698752,-5.284324
55.697701,-5.283606
55.696677,-5.283175
55.696407,-5.282793
55.695976,-5.282267
55.69541,-5.281645
55.695033,-5.281118
55.698429,-5.285998
55.696893,-5.284945
55.696138,-5.284276
55.695572,-5.283606
55.69549,-5.282205
