eventID,occurrenceID,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,recordedBy,type,ownerInstitutionCode
N1Stream,,kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,,,AKe & HH,,
N1Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,,,,,AKe & HH,,
N1Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,,,,,AKe & HH,,
N1Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Trichoptera,Philopotamidae,,,,,AKe & HH,,
N1Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae ,,,,,AKe & HH,,
N2Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,,,AKe & HH,,
N2Stream,,kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,,,,,AKe & HH,,
N2Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Diptera,Dixidae,,,,,AKe & HH,,
N3Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,,,AKe & HH,,
N3Stream,,kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,,,,,AKe & HH,,
N3Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,,,,,AKe & HH,,
N3Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Coleoptera,,,,,,AKe & HH,,
N4Stream,,kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,,,AKe & HH,,
N4Stream,,kicksampling,2,2,,present,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,,,,,AKe & HH,,
N4Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,,,,,AKe & HH,,
N4Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Trichoptera,Philopotamidae,,,,,AKe & HH,,
N4Stream,,kicksampling,1,1,,present,,Animalia,Nematomorpha,Gordioida,Gordioidea,,,,,,AKe & HH,,
N4Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Trichoptera,Leptoceridae,,,,,AKe & HH,,
N4Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Diptera,Dixidae,,,,,AKe & HH,,
N5Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,,,AKe & HH,,
N5Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Plecoptera,Capniidae,,,,,AKe & HH,,
N5Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,,,,,AKe & HH,,
N5Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Trichoptera,Philopotamidae,,,,,AKe & HH,,
N5Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae ,,,,,AKe & HH,,
S1Marsh,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Diptera,,,,,,KN & JS,,
S1Marsh,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Odonata,,,,,,KN & JS,,
S1Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Coleoptera,,,,,,KN & JS,,
S1Stream,,kicksampling,5,5,,present,,Animalia,Annelida,Clitellata,Oligochaete,,,,,,KN & JS,,
S1Stream,,rockrubbing,1,1,,present,,Animalia,Arthropoda,Insetca,Coleoptera,,,,,,KN & JS,,
S2Marsh,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Trichoptera,Philopotamidae,,,,,KN & JS,,
S2Marsh,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Odonata,,,,,,KN & JS,,
S2Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Coleoptera,Hydrophilidae,,,,,KN & JS,,
S2Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Plecoptera,Capniidae,,,,,KN & JS,,
S3Marsh,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insetca,Odonata,,,,,,KN & JS,,
S3Marsh,,kicksampling,2,2,,present,,Animalia,Arthropoda,Insetca,Ephemeroptera,Baetidae,,,,,KN & JS,,
S3Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Diptera,,,,,,KN & JS,,
S4Marsh,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Diptera,,,,,,KN & JS,,
S4Marsh,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Coleoptera,,,,,,KN & JS,,
S4Marsh,,kicksampling,2,2,,present,,Animalia,Annelida,Clitelatta,Oligochaete,,,,,,KN & JS,,
S4Marsh,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,,,KN & JS,,
