eventID,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,eventDate,eventTime,startDayOfYear,eventRemarks,country,countryCode,locality,locationID,decimalLatitudeSTART,decimalLongitudeSTART,decimalLatitudeEND,decimalLongitudeEND,geodeticDatum,coordinateUncertaintyInMeters,type,ownerInstitutionCode,,,,,
NHS1,sweepnetting,5 Minutes walk along transect,,,14/9/2023,14:10,,"Strong Wind, Sunny, Dense Heather",Scotland,,"Lochranza, Isle of Arran",NorthHigh,55.70867,-5.276892,,,,,,,,,,,
NHS2,sweepnetting,5 Minutes walk along transect,,,14/9/2023,14:20,,"Strong Wind, Sunny, Heather",Scotland,,"Lochranza, Isle of Arran",NorthHigh,55.706838,-5.275091,,,,,,,,,,,
NHS3,sweepnetting,5 Minutes walk along transect,,,14/9/2023,15:40,,"Strong Wind, Sunny, Semi imporved grassland acidic, heather, rhododendron, Bog",Scotland,,"Lochranza, Isle of Arran",NorthHigh,55.704924,-5.272508,,,,,,,,,,,
NHS4,sweepnetting,5 Minutes walk along transect,,,14/9/2023,16:00,,"Sunny, Rush, bog",Scotland,,"Lochranza, Isle of Arran",NorthHigh,55.706514,-5.271503,,,,,,,,,,,
NHS5,sweepnetting,5 Minutes walk along transect,,,14/9/2023,16:15,,"Sunny, Rush, Deer grass, Heather",Scotland,,"Lochranza, Isle of Arran",NorthHigh,55.707969,-5.270068,,,,,,,,,,,
NLP1,pitfalltrap,5 Minutes walk along transect,,,13/9/2023,Overnight,,Bracken,Scotland,,"Lochranza, Isle of Arran",NorthLow,55.706838,-5.282745,,,,,,,,,,,
NLP2,pitfalltrap,5 Minutes walk along transect,,,13/9/2023,Overnight,,"Path, Semiimproved acidic grassland, bracken",Scotland,,"Lochranza, Isle of Arran",NorthLow,55.706218,-5.281645,,,,,,,,,,,
NLP3,pitfalltrap,5 Minutes walk along transect,,,13/9/2023,Overnight,,"Bracken, Hathorn",Scotland,,"Lochranza, Isle of Arran",NorthLow,55.70549,-5.280592,,,,,,,,,,,
NLP4,pitfalltrap,5 Minutes walk along transect,,,13/9/2023,Overnight,,"Dense Bracken, Berry",Scotland,,"Lochranza, Isle of Arran",NorthLow,55.704681,-5.27954,,,,,,,,,,,
NLP5,pitfalltrap,5 Minutes walk along transect,,,13/9/2023,Overnight,,"Dense Bracken, Berry",Scotland,,"Lochranza, Isle of Arran",NorthLow,55.704196,-5.278583,,,,,,,,,,,
NLP6,pitfalltrap,5 Minutes walk along transect,,,13/9/2023,Overnight,,"Bracken, Berry Deer Grass",Scotland,,"Lochranza, Isle of Arran",NorthLow,55.704062,-5.278153,,,,,,,,,,,
NLP7,pitfalltrap,5 Minutes walk along transect,,,13/9/2023,Overnight,,"Dense Bracken, Berry",Scotland,,"Lochranza, Isle of Arran",NorthLow,55.703836,-5.277722,,,,,,,,,,,
NLS1,sweepnetting,5 Minutes walk along transect,,,13/9/2023,10:00,,"Calm, Sunny, Bracken",Scotland,,"Lochranza, Isle of Arran",NorthLow,55.706325,-5.282267,,,,,,,,,,,
NLS2,sweepnetting,5 Minutes walk along transect,,,13/9/2023,10:20,,"Calm, Sunny, Bracken Grass Neetle",Scotland,,"Lochranza, Isle of Arran",NorthLow,55.705706,-5.281023,,,,,,,,,,,
NLS3,sweepnetting,5 Minutes walk along transect,,,13/9/2023,10:40,,"Calm, Sunny, Bracken Wide Deer track",Scotland,,"Lochranza, Isle of Arran",NorthLow,55.704924,-5.27997,,,,,,,,,,,
NLS4,sweepnetting,5 Minutes walk along transect,,,13/9/2023,11:00,,"Calm, Sunny, Dense Bracken, Berry, WIllow(2M tall)",Scotland,,"Lochranza, Isle of Arran",NorthLow,55.70425,-5.278774,,,,,,,,,,,
NLS5,sweepnetting,5 Minutes walk along transect,,,13/9/2023,11:20,,"Calm, Sunny, Dense, Bracken Wide Path",Scotland,,"Lochranza, Isle of Arran",NorthLow,55.704115,-5.278248,,,,,,,,,,,
NLS6,sweepnetting,5 Minutes walk along transect,,,13/9/2023,11:40,,"Calm, Sunny, Dense Bracken Berry",Scotland,,"Lochranza, Isle of Arran",NorthLow,55.703792,-5.277578,,,,,,,,,,,
NMS1,sweepnetting,5 Minutes walk along transect,,,14/9/2023,10:00,,"Calm, Sunny, Smei-natural acidic grassland, patches of heather bracken",Scotland,,"Lochranza, Isle of Arran",NorthMid,55.702633,-5.270307,,,,,,,,,,,
NMS2,sweepnetting,5 Minutes walk along transect,,,14/9/2023,10:20,,"Calm, Sunny, Smei-natural acidic grassland, patches of heather bracken",Scotland,,"Lochranza, Isle of Arran",NorthMid,55.70301,-5.273799,,,,,,,,,,,
NMS3,sweepnetting,5 Minutes walk along transect,,,14/9/2023,10:35,,"Overcast, Bracken mostly, semi-acidic grassland",Scotland,,"Lochranza, Isle of Arran",NorthMid,55.704493,-5.275474,,,,,,,,,,,
NMS4,sweepnetting,5 Minutes walk along transect,,,14/9/2023,10:50,,"Windy, Drizzle, Smei-natural acidic grassland, patches of heather bracken",Scotland,,"Lochranza, Isle of Arran",NorthMid,55.70584,-5.278009,,,,,,,,,,,
NMS5,sweepnetting,5 Minutes walk along transect,,,14/9/2023,11:00,,"Windy, Drizzle, Bracken, hathorn",Scotland,,"Lochranza, Isle of Arran",NorthMid,55.706864,-5.279253,,,,,,,,,,,
NMS6,sweepnetting,5 Minutes walk along transect,,,14/9/2023,11:15,,"Windy, Drizzle, Smei-natural acidic grassland, patches of heather bracken",Scotland,,"Lochranza, Isle of Arran",NorthMid,55.707511,-5.2821,,,,,,,,,,,
NMS7,sweepnetting,5 Minutes walk along transect,,,14/9/2023,16:40,,"Sunny, Bracken",Scotland,,"Lochranza, Isle of Arran",NorthMid,55.701852,-5.268394,,,,,,,,,,,
SHS1,sweepnetting,5 Minutes walk along transect,,,13/9/2023,13:20,,"Cloudy, Grassland semi-improved acidic",Scotland,,,,,,,,,,,,,,,,
SHS2,sweepnetting,5 Minutes walk along transect,,,13/9/2023,13:30,,"Cloudy,Braken",Scotland,,,,,,,,,,,,,,,,
SHS3,sweepnetting,5 Minutes walk along transect,,,13/9/2023,13:45,,"Cloudy,Braken",Scotland,,,,,,,,,,,,,,,,
