eventID,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,eventDate,eventTime,startDayOfYear,eventRemarks,country,countryCode,locality,locationID,decimalLatitudeSTART,decimalLongitudeSTART
north1,Camera trapping,Left trap for 24 hours,24,Hours,12/09/2023,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.704196,-5.28021
north2,Camera trapping,Left trap for 24 hours,24,Hours,12/09/2023,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.704331,-5.279301
north3,Camera trapping,Left trap for 24 hours,24,Hours,12/09/2023,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.704735,-5.278535
north4,Camera trapping,Left trap for 24 hours,24,Hours,13/09/2023,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.704708,-5.277818
north5,Camera trapping,Left trap for 24 hours,24,Hours,13/09/2023,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.705301,-5.277722
north6,Camera trapping,Left trap for 24 hours,24,Hours,13/09/2023,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.706299,-5.277722
north7,Camera trapping,Left trap for 24 hours,24,Hours,14/09/2023,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.706784,-5.278105
north8,Camera trapping,Left trap for 24 hours,24,Hours,14/09/2023,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.707026,-5.2782
north9,Camera trapping,Left trap for 24 hours,24,Hours,14/09/2023,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.70743,-5.278679
south1,Camera trapping,Left trap for 24 hours,24,Hours,12/09/2023,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.700019,-5.285472
south2,Camera trapping,Left trap for 24 hours,24,Hours,12/09/2023,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.699749,-5.285472
south3,Camera trapping,Left trap for 24 hours,24,Hours,12/09/2023,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.699507,-5.28552
south4,Camera trapping,Left trap for 24 hours,24,Hours,13/09/2023,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.699453,-5.286524
south5,Camera trapping,Left trap for 24 hours,24,Hours,13/09/2023,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.699152,-5.285376
south6,Camera trapping,Left trap for 24 hours,24,Hours,13/09/2023,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.698348,-5.286094
south7,Camera trapping,Left trap for 24 hours,24,Hours,14/09/2023,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.698078,-5.287385
south8,Camera trapping,Left trap for 24 hours,24,Hours,14/09/2023,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.697971,-5.288007
south9,Camera trapping,Left trap for 24 hours,24,Hours,14/09/2023,13:00,,,Scotland,,"Lochranza, Isle of Arran",,55.697836,-5.287959
